draw,date,shift,demand_sample,total_cost,coverage_rate,shortfall
81,2025-10-29,night,61.023939578917336,1036.0,1.0,0.0
82,2025-10-29,evening,49.33523696965457,944.0,1.0,0.0
82,2025-10-29,morning,32.56537876443247,660.0,1.0,0.0
82,2025-10-29,night,27.70015087063976,568.0,1.0,0.0
83,2025-10-29,evening,29.671497399533912,568.0,1.0,0.0
83,2025-10-29,morning,15.934068860446617,284.0,1.0,0.0
83,2025-10-29,night,46.90143998650188,752.0,1.0,0.0
84,2025-10-29,evening,62.573347111153026,1036.0,1.0,0.0
84,2025-10-29,morning,9.0927221865599,284.0,1.0,0.0
84,2025-10-29,night,40.50900847489419,752.0,1.0,0.0
85,2025-10-29,evening,69.8773316759512,1128.0,1.0,0.0
85,2025-10-29,morning,68.23659881185999,1128.0,1.0,0.0
85,2025-10-29,night,51.82639415163818,944.0,1.0,0.0
86,2025-10-29,evening,55.261649838666045,944.0,1.0,0.0
86,2025-10-29,morning,67.54945650511267,1128.0,1.0,0.0
86,2025-10-29,night,8.554631906151137,284.0,1.0,0.0
87,2025-10-29,evening,76.24818686463247,1320.0,1.0,0.0
87,2025-10-29,morning,32.54227997147123,660.0,1.0,0.0
87,2025-10-29,night,27.879416327521085,568.0,1.0,0.0
88,2025-10-29,evening,46.47036946739664,752.0,1.0,0.0
88,2025-10-29,morning,64.21213993392163,1128.0,1.0,0.0
88,2025-10-29,night,5.619976614452985,284.0,1.0,0.0
89,2025-10-29,evening,42.74324645323516,752.0,1.0,0.0
89,2025-10-29,morning,33.167083693174646,660.0,1.0,0.0
89,2025-10-29,night,37.47777226023111,660.0,1.0,0.0
90,2025-10-29,evening,50.52978862648918,944.0,1.0,0.0
90,2025-10-29,morning,49.29589905161447,944.0,1.0,0.0
90,2025-10-29,night,61.031003821754595,1036.0,1.0,0.0
91,2025-10-29,evening,70.08832495772121,1128.0,1.0,0.0
91,2025-10-29,morning,36.753431910743686,660.0,1.0,0.0
91,2025-10-29,night,37.98173238180488,660.0,1.0,0.0
92,2025-10-29,evening,64.41084588750874,1128.0,1.0,0.0
92,2025-10-29,morning,65.86042495215642,1128.0,1.0,0.0
92,2025-10-29,night,6.756885315673409,284.0,1.0,0.0
93,2025-10-29,evening,35.55777561736082,660.0,1.0,0.0
93,2025-10-29,morning,8.997987966896735,284.0,1.0,0.0
93,2025-10-29,night,51.77803457633915,944.0,1.0,0.0
94,2025-10-29,evening,77.56538986186366,1320.0,1.0,0.0
94,2025-10-29,morning,6.8299920117723545,284.0,1.0,0.0
94,2025-10-29,night,39.24406170761157,660.0,1.0,0.0
95,2025-10-29,evening,35.84193688900152,660.0,1.0,0.0
95,2025-10-29,morning,23.166373895615774,376.0,1.0,0.0
95,2025-10-29,night,31.628433317358628,568.0,1.0,0.0
96,2025-10-29,evening,82.87709947472476,1412.0,1.0,0.0
96,2025-10-29,morning,43.93611284485657,752.0,1.0,0.0
96,2025-10-29,night,36.84476686592609,660.0,1.0,0.0
97,2025-10-29,evening,42.26838702591216,752.0,1.0,0.0
97,2025-10-29,morning,61.412254931139955,1036.0,1.0,0.0
97,2025-10-29,night,43.05245514105466,752.0,1.0,0.0
98,2025-10-29,evening,76.85773454457583,1320.0,1.0,0.0
98,2025-10-29,morning,38.490027210979875,660.0,1.0,0.0
98,2025-10-29,night,32.85461914277757,660.0,1.0,0.0
99,2025-10-29,evening,22.451210574900006,376.0,1.0,0.0
99,2025-10-29,morning,42.2933228183354,752.0,1.0,0.0
99,2025-10-29,night,53.16969539936108,944.0,1.0,0.0
100,2025-10-29,evening,36.208780568463304,660.0,1.0,0.0
